rest_name,rest_type,cuisine_type,rest_address
Taco Bell,Quick Bites ," Mexican, Fast Food, Wraps, Beverages",Brigade Road
Amrith Ice Cream,Dessert Parlor , Ice Cream,Malleshwaram
Burger King,Quick Bites ," Burger, Fast Food, Beverages",Whitefield
The Illusion Cafe,Quick Bites ," Continental, Fast Food, Chinese, Street Food, Beverages",Rajajinagar
Thalassery Restaurant,Casual Dining ," Kerala, South Indian, Seafood, North Indian, Chinese, Arabian, Beverages",Yeshwantpur
Farzi Cafe,Casual Dining ," Bar Food, Mughlai, North Indian, Beverages",Lavelle Road
Shri Udupi Cafe,Quick Bites ," South Indian, North Indian, Chinese, Street Food, Beverages",New BEL Road
Tipsy Bull - The Bar Exchange,"Bar, Casual Dining "," Finger Food, North Indian, Continental, Fast Food, Naga",Indiranagar
Keventers - Milkshakes & Ice Creams,Beverage Shop ," Beverages, Desserts, Ice Cream",HSR
Sri Sai Palace,Quick Bites ," South Indian, North Indian, Chinese",Whitefield
Millennials,Bar ," Finger Food, Continental, North Indian, Chinese, Italian",JP Nagar
SkyDeck By Sherlock's,"Pub, Casual Dining "," Continental, Chinese, Finger Food, North Indian",MG Road
Daddy,"Bar, Casual Dining "," Finger Food, Continental, North Indian, Asian, Pasta",Indiranagar
Levels,"Pub, Casual Dining "," North Indian, Chinese, Mangalorean, Mughlai, Thai, Beverages, Bar Food",JP Nagar
The Biere Club,"Microbrewery, Casual Dining "," Finger Food, Continental, Fast Food, North Indian, Italian, Beverages",Lavelle Road
ShakesBierre,"Microbrewery, Casual Dining "," Finger Food, North Indian, Asian, Italian, Desserts, Beverages",Brigade Road
B-hive,Pub ," Finger Food, North Indian, Beverages",Koramangala 1st Block
Geometry Gastropub,"Pub, Casual Dining "," Finger Food, North Indian, Seafood, Chinese, Continental, Pizza",Malleshwaram
Hammered,"Bar, Casual Dining "," North Indian, South Indian, Continental, Asian, Beverages, Pasta",HSR
Biergarten,Microbrewery ," Continental, European, BBQ, Chinese, Asian",Koramangala 5th Block
Ironhill Bengaluru,"Microbrewery, Casual Dining "," Continental, North Indian, Italian, Finger Food, Desserts, Beverages, Fast Food, Biryani",Marathahalli
Based On A True Story- Bistro,Café ," Cafe, Continental, Fast Food, Italian, Beverages",Kammanahalli
The Pump House,Microbrewery ," Continental, Finger Food, North Indian, Italian, Asian, Desserts",JP Nagar
Communiti,Microbrewery ," Continental, BBQ, Desserts, Italian, Sandwich, Fast Food",Brigade Road
Fat Owl,Bar ," Finger Food, Asian, North Indian, Fast Food, Beverages, Desserts",JP Nagar
Easy Tiger,"Bar, Casual Dining "," Finger Food, Continental",Church Street
Brahma Brews,Microbrewery ," Bar Food, Asian, Italian, North Indian, Fast Food, European, South Indian",JP Nagar
TBC- Sky Lounge,"Bar, Casual Dining "," Continental, Asian, Italian, North Indian",Kadubeesanahalli
The 13th Floor,Casual Dining ," North Indian, Asian, Thai",Brigade Road
Udupi Ruchi Grand,Quick Bites ," South Indian, North Indian, Chinese, Beverages",Yeshwantpur
